Title,Author,Price ($),Genre
Catcher in the Rye,J.D. Salinger,10.00,Fiction
1984,George Orwell,8.00,Fiction
Clean Code,Robert C. Martin,25.00,Technology
Thinking Fast and Slow,Daniel Kahneman,12.00,Psychology
Pragmatic Programmer,Andrew Hunt,30.00,Technology
Hitchhiker's Guide to the Galaxy,Douglas Adams,15.00,Science Fiction
Art of Computer Programming,Donald E. Knuth,80.00,Computer Science
Clean Code,Robert C. Martin,50.00,Software Engineering
Pragmatic Programmer,Andrew Hunt,60.00,Software Engineering
Sapiens,Yuval Noah Harari,30.00,History
Deep Learning,Ian Goodfellow,70.00,Machine Learning
Design of Everyday Things,Don Norman,40.00,Design
Cosmos,Carl Sagan,25.00,Science
1984,George Orwell,20.00,Fiction
Catcher in the Rye,J.D. Salinger,15.00,Fiction
